eigenvalue	variance.percent	cumulative.variance.percent	Dimensions
57.7799425023853	0.223346039020239	0.223346039020239	1
29.9489956104755	0.115766635488744	0.339112674508983	2
23.8049939589652	0.0920172447284128	0.431129919237396	3
15.9244724798004	0.0615554065617734	0.49268532579917	4
14.2146744259725	0.0549462510952166	0.547631576894386	5
13.4755887889866	0.0520893453530428	0.599720922247429	6
13.2465982069729	0.0512041914873462	0.650925113734775	7
12.9987433722495	0.0502461186130925	0.701171232347868	8
12.9641276342832	0.0501123128731123	0.75128354522098	9
12.9199356223963	0.0499414904322478	0.801225035653228	10
